hotel_id,reco_hotel_id,rank
253240,4906141,9
253240,5329744,10
253249,2097196,1
253249,912697,2
253249,3866092,3
253249,5228530,4
253249,5272684,5
253249,5304787,6
253249,4764193,7
253249,935089,8
253249,2102155,9
253249,2280535,10
253312,4768738,1
253312,725947,2
253312,155743,3
253312,423475,4
253312,156067,5
253312,4768180,6
253312,6777331,7
253312,6725896,8
253312,440062,9
253312,465010,10
253348,5288380,1
253348,6709912,2
253348,1604923,3
253348,6754840,4
253348,6659332,5
253348,1676851,6
253348,1087999,7
253348,6755092,8
253348,6758188,9
253348,1672666,10
253357,6736165,1
253357,3877855,2
253357,2978143,3
253357,403522,4
253357,516724,5
253357,5258455,6
253357,3881059,7
253357,5432983,8
253357,5783353,9
253357,3848020,10
253375,5304076,1
253375,1548277,2
253375,3849982,3
253375,3850054,4
253375,1579273,5
253375,1271590,6
253375,1593187,7
253375,6771472,8
253375,3829606,9
253375,3850243,10
253402,6742996,1
253402,5317918,2
253402,6679330,3
253402,5315047,4
253402,5313931,5
253402,5261857,6
253402,2104639,7
253402,2104630,8
253402,2876227,9
253402,2104756,10
253420,401677,1
253420,262456,2
253420,6734140,3
253420,6732583,4
253420,3859414,5
253420,6725869,6
253420,10657033,7
253420,5276518,8
253420,3855292,9
253420,6722260,10
253438,5261578,1
253438,4767091,2
253438,2090320,3
253438,1643056,4
253438,4765525,5
253438,5323183,6
253438,5320636,7
253438,6739189,8
253438,4764850,9
253438,1569841,10
253447,213073,1
253447,401443,2
253447,4758487,3
253447,570760,4
253447,709882,5
253447,4766623,6
253447,92392,7
253447,3757192,8
253447,5228962,9
253447,2097349,10
253456,3161707,1
253456,6665092,2
253456,402370,3
253456,404971,4
253456,2096134,5
253456,1018141,6
253456,2094694,7
253456,6756730,8
253456,4806106,9
253456,3659704,10
253465,2894623,1
253465,5131609,2
253465,3865174,3
253465,5295211,4
253465,3865012,5
253465,5295382,6
253465,5130376,7
253465,3745690,8
253465,6712567,9
253465,6744139,10
253474,5304076,1
253474,1548277,2
253474,3849982,3
253474,3850054,4
253474,1579273,5
253474,1271590,6
253474,1593187,7
253474,6771472,8
253474,3829606,9
253474,3850243,10
253483,5267194,1
253483,1277647,2
253483,405007,3
253483,6745183,4
253483,3881941,5
253483,3836311,6
253483,6785017,7
253483,6711415,8
253483,4756237,9
253483,5318278,10
253789,3868918,1
253789,5280946,2
253789,5257978,3
253789,3866227,4
253789,6766126,5
253789,1059118,6
253789,6720946,7
253789,10661362,8
253789,5288263,9
253789,1157515,10
253816,5304076,1
253816,1548277,2
253816,3849982,3
253816,3850054,4
253816,1579273,5
253816,1271590,6
253816,1593187,7
253816,6771472,8
253816,3829606,9
253816,3850243,10
253951,6673516,1
253951,6696781,2
253951,6672139,3
253951,1864933,4
253951,6748954,5
253951,6734545,6
253951,6780481,7
253951,6697141,8
253951,6749863,9
253951,6672742,10
258262,5227783,1
258262,606571,2
258262,612691,3
258262,600280,4
258262,1033234,5
258262,563542,6
258262,6764119,7
258262,5228080,8
258262,6781840,9
258262,597679,10
258307,720394,1
258307,401488,2
258307,3869215,3
258307,4766929,4
258307,5267878,5
258307,6730324,6
258307,2091301,7
258307,5049421,8
258307,10654972,9
258307,4761196,10
258577,6085969,1
258577,6700336,2
258577,5140069,3
258577,6763246,4
258577,6699265,5
258577,1506742,6
258577,6666172,7
258577,262537,8
258577,6699274,9
258577,6754975,10
258991,5230267,1
258991,608128,2
258991,200311,3
258991,2093848,4
258991,6734473,5
258991,5456833,6
258991,468790,7
258991,463876,8
258991,6776449,9
258991,3759082,10
260908,885211,1
260908,2093650,2
260908,2093569,3
